MORE,Jobs,TRUE,,jobs
MORE,Store,TRUE,,commerce/index/index/market_code/bizjournals
MORE,How To,TRUE,,bizjournals/how-to
MORE,ThinkBeat,TRUE,,bizjournals/partner-content/
NEWS,Latest News,TRUE,,news
NEWS,Business Pulse,TRUE,,pulse
NEWS,Press Releases,TRUE,,prnewswire/press_releases
LISTS & AWARDS,All Lists,TRUE,,listsearch
LISTS & AWARDS,The Book of Lists,TRUE,,bizbooks
LISTS & AWARDS,Build Your Own Lists,TRUE,,mybookoflists
PEOPLE & COMPANIES,Business Directory,TRUE,,bizjournals/datacenter/companies
PEOPLE & COMPANIES,Find Businesses for Sale,TRUE,,bizjournals/businesses_for_sale
PEOPLE & COMPANIES,Search for Company News,TRUE,,newssearch
PEOPLE & COMPANIES,People on the Move,TRUE,,potm
PEOPLE & COMPANIES,Executive Profiles,TRUE,,bizjournals/topic/executive-profiles
PEOPLE & COMPANIES,Search for People in the News,TRUE,,newssearch
EVENTS,Business Event Calendar,TRUE,,calendar/bizjournals
EVENTS,Nominations,TRUE,,nominations